0,speed_limit_20
1,speed_limit_30
2,speed_limit_50
3,speed_limit_60
4,speed_limit_70
5,speed_limit_80
6,end_of_zone_80
7,speed_limit_100
8,speed_limit_120
9,no_passing
10,no_passing_large_vehicle
11,give_way
12,priority_road
13,yield
14,stop
15,all_vehicles_prohibited
16,trucks_prohibited
17,no_entry
18,danger
19,sharp_left_turn
20,sharp_right_turn
21,double_curve
22,uneven_lane
23,slippery_road
24,narrow_lane
25,construction_ahead
26,traffic_light_ahead
27,pedestrian_crossing_ahead
28,children_crossing_ahead
29,bicycle_crossing_ahead
30,slippery_ice
31,animal_crossing_ahead
32,end_of_all_bans
33,prescribed_direction_right
34,prescribed_direction_left
35,prescribed_direction_straight
36,prescribed_direction_straight_or_right
37,prescribed_direction_straight_or_left
38,mandatory_drive_on_right
39,mandatory_drive_on_left
40,roundabout
41,end_of_no_passing_all
42,end_of_no_passing_large